         45710 function calls (45094 primitive calls) in 22.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\message.py:596(get_content_type)
       33    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\response.py:121(decompress)
      980    0.000    0.000    0.000    0.000 <frozen _collections_abc>:868(__iter__)
       39    0.000    0.000    0.000    0.000 <frozen ntpath>:268(basename)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\models.py:658(__init__)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\typing.py:1221(__instancecheck__)
       18    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py:1161(return_ok_domain)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\message.py:483(items)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1136(putrequest)
      464    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       78    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      258    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\api_requestor.py:737(_interpret_response_line)
      469    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       70    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:345(to_key_val_list)
       10    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connectionpool.py:258(_get_conn)
      278    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:740(compile)
      244    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:127(__next__)
       20    0.000    0.000    0.000    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\typing.py:1492(__subclasscheck__)
       66    0.000    0.000    0.000    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\cookies.py:49(get_full_url)
